source,target,weight
6924,8288,1
6924,7512,1
6924,8239,1
6924,7637,1
6924,8278,1
6924,9432,1
6924,3095,1
6924,8430,1
6924,7342,1
6924,10291,1
6924,7640,1
6924,2071,1
6924,8472,1
6924,8138,1
6924,7850,1
6924,8069,1
6924,8734,1
6924,3908,1
6924,368,1
6924,449,1
6924,5468,1
6924,6903,1
6924,7512,1
6924,8803,1
6924,8239,1
6924,7637,1
6924,8278,1
6924,9432,1
6924,3095,1
6924,10291,1
6924,9086,1
6924,7640,1
6924,2167,1
6924,368,1
6924,449,1
6924,8278,1
6924,6508,1
6924,2771,1
6924,6487,1
6924,1602,1
6924,3707,1
6924,8191,1
6924,9702,1
6924,3883,1
6924,5626,1
6924,1862,1
6924,8239,1
6924,5647,1
6924,3137,1
6924,7131,1
6924,98,1
6924,6011,1
6924,10018,1
6924,7850,1
6924,1998,1
6924,8430,1
6924,351,1
6924,4811,1
6924,2371,1
6924,1169,1
6924,5109,1
6924,1725,1
6924,4615,1
6924,1502,1
6924,9749,1
6924,810,1
6924,6273,1
6924,9075,1
6924,10276,1
6924,1639,1
6924,4654,1
6924,1819,1
6924,309,1
6924,2222,1
6924,9524,1
6924,2994,1
6924,8713,1
6924,9232,1
6924,8034,1
6924,6159,1
6924,7186,1
2920,7374,1
2920,3833,1
2920,9569,1
2920,1884,1
2920,5788,1
2920,8404,1
2920,322,1
2920,2172,1
2920,5917,1
2920,1345,1
2920,9515,1
2920,7238,1
2920,1072,1
2920,2635,1
2920,3890,1
2920,8183,1
2920,5712,1
2920,8001,1
2920,2161,1
2920,1689,1
2920,7252,1
2920,6768,1
2920,1645,1
2920,4894,1
2920,8999,1
2920,597,1
2920,9990,1
2920,7119,1
2920,7871,1
2920,2804,1
2920,1464,1
2920,3380,1
2920,4582,1
2920,3676,1
2920,3619,1
2920,5098,1
2920,1111,1
2920,3833,1
2920,9569,1
2920,1884,1
2920,5788,1
2920,322,1
2920,4133,1
2920,7155,1
2920,1351,1
2920,2244,1
2920,4912,1
2920,3455,1
2920,2148,1
2920,9394,1
2920,4504,1
2920,3217,1
2920,6768,1
2920,4894,1
2920,597,1
4007,969,1
4007,7615,1
4007,4064,1
4007,8682,1
4007,10033,1
4007,5790,1
4007,481,1
4007,915,1
